symbol,Date,Open,High,Low,Close,Adj Close,Volume,Brent_Price, Gold_Price ,
2010,6/22/2023,88.199997,88.400002,87.900002,88.199997,84.683914,590458,74.14," $1,923.70 ",
2010,7/2/2023,88.199997,89,88.199997,89,85.452026,828864,#N/A,#N/A,
2010,7/3/2023,89.199997,89.300003,88.599998,89.199997,85.644051,1562260,74.65," $1,929.50 ",
2010,7/4/2023,89.199997,89.5,88.900002,89.300003,85.740074,679550,76.25,#N/A,
2010,7/5/2023,89.300003,89.5,88.599998,88.699997,85.163986,1175978,76.65," $1,927.10 ",
2010,7/6/2023,88.800003,88.900002,88.300003,88.599998,85.067978,779767,76.52," $1,915.40 ",
2010,7/9/2023,88.599998,89.400002,88.599998,89.300003,85.740074,783499,#N/A,#N/A,
2010,7/10/2023,89.400002,89.5,88.699997,88.800003,85.260002,1728530,77.69," $1,931.00 ",
2010,7/11/2023,88.900002,89,88.5,88.5,84.971962,917757,79.4," $1,937.10 ",
2010,7/12/2023,88.699997,89,88.5,88.5,84.971962,892078,80.11," $1,961.70 ",
2010,7/13/2023,88.5,88.800003,88.400002,88.400002,84.875946,972177,81.36," $1,963.80 ",
2010,7/16/2023,88.599998,88.900002,88,88.199997,84.683914,799033,#N/A,#N/A,
2010,7/17/2023,88.199997,88.199997,87,87,83.531754,1514295,78.5," $1,956.40 ",
2010,7/18/2023,87.099998,87.199997,85.699997,86.099998,82.667633,2022471,79.63," $1,980.80 ",
2010,7/19/2023,86.099998,86.199997,85.300003,85.5,82.091553,1369278,79.46," $1,980.80 ",
2010,7/20/2023,85.599998,85.699997,84,84.199997,80.843376,2328264,79.64," $1,970.90 ",
2010,7/23/2023,84.5,85.5,83.699997,85.400002,81.995537,1509583,#N/A,#N/A,
2010,7/24/2023,86,86.300003,85.199997,85.199997,81.803513,1707712,82.74," $1,962.20 ",
2010,7/25/2023,85.599998,86.099998,85.300003,86,82.571617,1716033,83.64," $1,963.70 ",
2010,7/26/2023,86,86.5,85.400002,86,82.571617,2196963,82.92," $1,970.10 ",
2010,7/27/2023,86.199997,86.800003,85.699997,86.5,83.051689,1883305,84.24," $1,945.70 ",
2010,7/30/2023,86.599998,87.300003,86.199997,86.400002,82.955681,1523749,#N/A,#N/A,
2010,7/31/2023,86.400002,86.400002,84.599998,85.699997,82.283577,2004431,85.56," $1,970.50 ",
2010,8/1/2023,85.699997,85.699997,84.699997,85.099998,81.707504,1023025,84.91," $1,940.70 ",
2010,8/2/2023,85.099998,85.800003,84.900002,85.400002,81.995537,1331431,83.2," $1,975.00 ",
2010,8/3/2023,85,86,84.900002,85,81.611488,1310293,85.14," $1,968.80 ",
2010,8/6/2023,85.5,85.5,84.699997,85,81.611488,536856,#N/A,#N/A,
2010,8/7/2023,85,85.400002,84,85,81.611488,1090165,85.34," $1,970.00 ",
2010,8/8/2023,85,85.300003,84.099998,84.099998,80.74736,1175172,86.17," $1,959.90 ",
2010,8/9/2023,84.400002,86.199997,83.800003,86.099998,82.667633,2939926,87.55," $1,950.60 ",
2010,8/10/2023,86,87.300003,85.599998,87.300003,83.819794,1908496,86.4," $1,948.90 ",
2010,8/13/2023,87.400002,88.199997,87.400002,88,84.491898,1176809,#N/A,#N/A,
2010,8/14/2023,88.199997,88.199997,86.699997,86.699997,83.243713,1500790,86.21," $1,944.00 ",
2010,8/15/2023,86.699997,87.199997,86.099998,86.099998,82.667633,1300217,84.89," $1,935.20 ",
2010,8/16/2023,86.099998,87.400002,85.699997,86.400002,82.955681,1821840,83.45," $1,928.30 ",
2010,8/17/2023,86,87,86,86.5,83.051689,1015104,84.12," $1,915.20 ",
2010,8/20/2023,86.5,88.099998,86.5,88,84.491898,1535993,#N/A,#N/A,
2010,8/21/2023,88.199997,88.900002,87.300003,87.300003,83.819794,2501972,84.46," $1,923.00 ",
2010,8/22/2023,87.400002,88.5,87.300003,88,84.491898,1507469,84.03," $1,926.00 ",
2010,8/23/2023,88.300003,89.300003,88,88,84.491898,2248025,83.21," $1,948.10 ",
2010,8/24/2023,88.599998,88.699997,87.800003,87.800003,84.299873,1055485,83.36," $1,947.10 ",
2010,8/27/2023,87.800003,88.5,87.800003,88.400002,84.875946,737313,#N/A,#N/A,
